subsektor,komoditas,prov,kab,Indikator,Satuan,Tahun,Jumlah
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,2015,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,2016,"29,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,2016,"88,68"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,2016,"30,58"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,2017,"97,50"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,2017,"246,78"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,2017,"25,31"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,2018,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,2018,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,2018,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,2019,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,2019,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,2019,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,2020,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,2020,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,2020,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,2021,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,2021,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,2021,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,2022,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,2022,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,2022,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,2023,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,2023,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,2023,"0,00"
